握	Ác
cầm, nắm

扱	Tráp
đối xử

衣	Ỷ
ỷ lại

威	Uy
uy quyền

為	Vi
hành vi

偉	Vĩ
vĩ đại

違	Vi
sai khác

維	Duy
buộc

緯	Vĩ
vĩ độ

壱	Nhất
số một

芋	Dụ
củ khoai

陰	Âm
âm u

隠	Ẩn
ẩn dấu

影	Ảnh
cái bóng

鋭	Nhuệ
nhọn, sắc

越	Việt
vượt qua

援	Viện
chi viện

煙	Yên
khói

鉛	Duyên
chất chì

縁	Duyên 
duyên phận

汚	Ô
ô nhiễm

押	Áp
ấn, ép

奥	Áo
bên trong

憶	Ức
kí ức

菓	Quả
hoa quả

暇	Hạ
nhàn hạ

箇	Cá
số đếm

雅	Nhã
nhã nhạc,thanh lịch

介	Giới
giới thiệu

戒	Giới
cảnh giới

皆	Giai
mọi người

壊	Hoại
hủy hoại

較	Giảo
so sánh

獲	Hoạch
săn bắt

刈	Ngải
sự cắt

甘	Cam
ngọt

汗	Hãn
mồ hôi

乾	Can
cạn

勧	Khuyến
khuyên bảo

歓	Hoan
hoan hỉ

環	Hoàn
tuần hoàn

鑑	Giám
gương

含	Hàm
nội hàm

奇	Kì
kì diệu

祈	Kỳ
cầu chúc,cầu xin

鬼	Quỷ
ma quỷ

幾	Cơ
bao nhiêu

輝	Huy
sáng

儀	Nghi
nghi lễ

戯	Hí
vui, du hí

詰	Cật
vặn hỏi

却	Khước
quá khứ

脚	Cước
chân

及	Cập
phổ cập

丘	Khâu
ngọn đồi

朽	Hủ
mục nát

巨	Cự
to lớn

拠	Cứ
chứng cứ

距	Cự
cự li

御	Ngự
 kính thưa,ngự uyển

凶	Hung
hung ác

叫	Khiếu
hét, kêu

狂	Cuồng
cuồng nhiệt

況	Huống
tình huống

狭	Hiệp
hẹp

恐	Khủng
 khủng hoảng

響	Hưởng
ảnh hưởng

驚	Kinh
kinh ngạc

仰	Ngưỡng
nhìn lên

駆	Khu 
tiến đến, chạy đến

屈	Khuất 
bất khuất, khuất phục

掘	Quật
đào lên

繰	Tao
kéo tơ

恵	Huệ
ân huệ, ban phước

傾	Khuynh
 khuynh hướng

継	Kế
kế tục

迎	Nghênh 
nghênh đón

撃	Kích
công kích

肩	Kiên
bờ vai

兼	Kiêm
kiêm nhiệm

剣	Kiếm
gươm

軒	Hiên
mái nhà

圏	Quyển
khí quyển

堅	Kiên
kiên cố

遣	Khiển
phái khiển, cử đi

玄	Huyền
huyền diệu

枯	Khô
khô héo

誇	Khoa
khoa trương

鼓	Cổ
 cái trống

互	Hỗ
hỗ trợ

抗	Kháng
đối kháng

攻	Công
công kích

更	Canh
canh tân

恒	Hằng
vĩnh hằng

荒	Hoang
 hoang dã

香	Hương
hương thơm

項	Hạng
hạng mục

稿	Cảo
bản thảo

豪	Hào
hào nhoáng

込	Nhập
dồn, 
nhồi nhét

婚	Hôn
kết hôn

鎖	Tỏa 
cái xích,
phong tỏa

彩	Thái
sắc thái

歳	Tuế 
tuổi

載	Tải
chất lên, vận tải

剤	Tễ
thuốc,dịch tễ

咲	Tiếu
nở hoa

惨	Thảm
bi thảm

旨	Chỉ 
ý chỉ, chỉ dụ

伺	Tứ
thăm hỏi

刺	Thích 
đâm thủng, chích

脂	Chi 
mỡ

紫	Tử
màu tím

雌	Thư 
giống cái

執	Chấp 
chấp hành

芝	Chi
cỏ

斜	Tà
mặt nghiêng

煮	Chử
nấu

釈	Thích
giải thích

寂	Tịch
lặng yên

朱	Chu 
sắc đỏ

狩	Thú
săn bắt

趣	Thú
hứng thú

需	Nhu
nhu cầu

舟	Chu
cái thuyền

秀	Tú
ưu tú

襲	Tập
tập kích

柔	Nhu
mềm dẻo

獣	Thú
thú vật

瞬	Thuấn
thoáng qua

旬	Tuần
10 ngày

巡	Tuần
tuần tra

盾	Thuẫn
mâu thuẫn

召	Triệu
triệu gọi

床	Sàng
cái giường

沼	Chiểu
đầm lầy

称	Xưng
nhân xưng, danh xưng

紹	Thiệu
giới thiệu

詳	Tường
rõ ràng

丈	Trượng
trượng phu

畳	Điệp
cái chiếu

殖	Thực
thực dân

飾	Sức
trang sức

触	Xúc
xúc giác

侵	Xâm
xâm lược

振	Chấn
chấn động

浸	Tẩm
thẩm thấu, thấm nước

寝	Tẩm
ngủ

慎	Thận
thận trọng

震	Chấn 
địa chấn

薪	Tân 
củi

尽	Tận 
tận lực, đến cùng

陣	Trận
trận địa

尋	Tầm
tìm kiếm,
dò hỏi

吹	Xúy
thổi

是	Thị
điều đúng
thị phi

井	Tỉnh
cái giếng

姓	Tính 
họ(trong họ tên)

征	Chinh
chinh phục

跡	Tích
dấu tích

占	Chiếm 
chiếm lấy

扇	Phiến 
quạt

鮮	Tiên 
tươi sống

