圧	Áp
áp suất,
áp lực

移	Di
di chuyển

因	Nhân
nguyên nhân

永	Vĩnh
vĩnh cửu

営	Doanh
kinh doanh

衛	Vệ
 vệ tinh,
phòng vệ

易	Dịch
 mậu dịch

益	Ích 
lợi ích

液	Dịch
chất lỏng

演	Diễn
diễn thuyết,
diễn xuất

応	Ứng
phản ứng

往	Vãng
đã qua,
dĩ vãng

桜	Anh
anh đào

恩	Ân
ân nhân

可	Khả
khả năng

仮	Giả 
giả thuyết,
giả định

価	Giá
giá cả,
giá trị

河	Hà
sông

過	Quá
vượt quá,
quá khứ

賀	Hạ
chúc mừng

快	Khoái
khoái thích

解	Giải
giải quyết,
lý giải

格	Cách 
nhân cách;
tính cách

確	Xác
chính xác,
xác thực

額	Ngạch
cái trán,
hạn ngạch

刊	San
tập san

幹	Cán
cán bộ

慣	Quán
quen;
tập quán

眼	Nhãn 
con mắt

基	Cơ
cơ bản

寄	Kí
kí gửi,
kí túc

規	Quy
quy tắc

技	Kĩ
kĩ thuật

義	Nghĩa
chính nghĩa

逆	Nghịch
phản nghịch

久	Cửu
vĩnh cửu

旧	Cựu
kì cựu

居	Cư
cư trú;
định cư

許	Hứa
cho phép

境	Cảnh
quốc cảnh;
hoàn cảnh

均	Quân
bình quân

禁	Cấm 
nghiêm cấm

句	Cú
câu cú

群	Quần
quần đảo,
quần cư

経	Kinh
kinh tế,
kinh độ

潔	Khiết
thanh khiết

件	Kiện 
sự kiện

券	Khoán
chứng khoán

険	Hiểm
hiểm họa,
nguy hiểm

検	Kiểm 
kiểm tra

限	Hạn
giới hạn

現	Hiện
hiện thực,
hiện đại

減	Giảm
giảm thiểu

故	Cố
sự cố,
biến cố

個	Cá
cá thể, cá nhân

護	Hộ
hộ vệ, 
bảo hộ

効	Hiệu
hiệu quả

厚	Hậu
bề dày

耕	Canh
canh tác;
cày ruộng

鉱	Khoáng
khoáng sản

構	Cấu
cấu tạo

興	Hưng
hưng thịnh

講	Giảng
cắt nghĩa

混	Hỗn
hỗn loạn

査	Tra
kiểm tra

再	Tái
làm lại;
tái tạo

災	Tai
tai họa,
tai ương

妻	Thê
vợ

採	Thái
hái,
chọn nhặt

際	Tế
quốc tế

在	Tại 
tồn tại

財	Tài
tiền tài,
tài chính

罪	Tội
tội lỗi

雑	Tạp
tạp chí;
phức tạp

酸	Toan
dấm, chua

賛	Tán
tán thành

支	Chi
chi nhánh

志	Chí
ý chí

枝	Chi
cành cây

師	Sư 
thầy giáo

資	Tư
của cải;
đầu tư

飼	Tự
 nuôi

示	Thị 
chỉ thị

似	Tự 
tương tự

識	Thức
 tri thức

質	Chất
hỏi;
chất vấn

舎	Xá
phố xá

謝	Tạ
cảm tạ

授	Thụ
truyền thụ,
trao đi

修	Tu
tu sửa;
tu nghiệp

述	Thuật
nêu ra,
thuật ra

術	Thuật
kĩ thuật;
