悪	ác
ác nhân

安	an
an toàn

暗	ám
tối

医	y
y học

委	uỷ
uỷ viên

意	ý
ý chí

育	dục
giáo dục

員	viên
xã viên

院	viện
bệnh viện

飲	ẩm
ẩm thực

運	vận
vận động

泳	vịnh
bơi

駅	dịch
nhà ga

央	ương
trung ương

横	hoành
trục hoành

屋	ốc
cao ốc

温	ôn
ôn hoà

化	hoá
biến hoá

荷	hà
hành lý

界	giới
thế giới

開	khai
khai vận

階	giai
giai cấp

寒	hàn
lạnh,
phong hàn

感	cảm
cảm giác

漢	hán
hán tự

館	quán
hội quán

岸	ngạn
bờ biển

起	khởi
khởi dậy

期	kỳ
kỳ hạn

客	khách
lữ khách

究	cứu
nghiên cứu

急	cấp
khẩn cấp

級	cấp
cấp độ

宮	cung
mê cung

球	cầu
quả cầu

去	khứ
quá khứ

橋	kiều
cây cầu

業	nghiệp
nghiệp vụ

曲	khúc
khúc nhạc

局	cục
cục bộ

銀	Ngân 
bạc,
ngân hàng

区	Khu
khu vực

苦	Khổ
đắng, 
khốn khổ

具	Cụ
công cụ, 
đạo cụ

君	Quân
quân chủ

係	Hệ
quan hệ

軽	Khinh
nhẹ

血	Huyết
máu

決	Quyết
quyết định,
quyết đoán

研	Nghiên 
nghiên cứu

県	Huyện
huyện, tỉnh

庫	Khố
kho chứa,
ngân khố

湖	Hồ
cái hồ

向	Hướng
hướng về,
ngoảnh về

幸	Hạnh
hạnh phúc

港	Cảng
hải cảng

号	Hiệu
số hiệu

根	Căn
gốc rễ

祭	Tế
tế lễ

皿	Mãnh
cái đĩa

仕	Sĩ
công việc

死	Tử
chết

使	Sử
sử dụng

始	Thủy
bắt đầu

指	Chỉ
ngón tay

歯	Xỉ
răng

詩	Thi
thi ca

次	Thứ
tiếp theo

事	Sự
sự việc,
công việc

持	Trì
duy trì

式	Thức
hình thức

実	Thực
sự thực,
thực tế

写	Tả
sao lại

者	Giả
người

主	Chủ
ông chủ

守	Thủ
bảo vệ

取	Thủ
lấy

酒	Tửu
rượu

受	Thụ
nhận

州	Châu
cửu châu

拾	Thập
thu thập

終	Chung
kết thúc

習	Tập
luyện tập,
học tập

集	Tập
tập trung, thu thập

住	Trú
cư trú

重	Trọng
nặng

宿	Túc
nhà trọ

所	Sở
nơi chốn

暑	Thử
nóng

助	Trợ
trợ giúp

昭	Chiêu
sáng

消	Tiêu
tiêu diệt

商	Thương
thương phẩm

章	Chương
chương hồi

勝	Thắng
chiến thắng

乗	Thừa
lên xe

植	Thực
trồng cây

申	Thân
xưng tên

身	Thân
bản thân

神	Thần
thần thánh

真	Chân
chân thật

深	Thâm
sâu

進	Tiến
tiến lên

世	Thế
thế giới

整	Chỉnh
chỉnh đốn

昔	Tích
ngày xưa,
cổ tích

全	Toàn
hoàn toàn

相	Tương
tương tự

送	Tống
đưa đi, 
tiễn đi

想	Tưởng 
tưởng tượng

息	Tức
hơi thở

速	Tốc
tốc độ

族	Tộc 
gia tộc

他	Tha 
người lạ

打	Đả
đánh

対	Đối 
đối tượng,
phản đối

待	Đãi
chiêu đãi

代	Đại
hiện đại

第	Đệ 
đệ nhất, 
đệ nhị

題	Đề
vấn đề

炭	Than
than đá

短	Đoản 
ngắn

談	Đàm
đàm thoại

着	Trước
đến nơi

注	Chú
chú ý

柱	Trụ
cột trụ

丁	Đinh
can thứ 4

帳	Trướng
căng lên,
giương lên

調	Điều
điều hành

追	Truy
truy đuổi

定	Định
cố định

庭	Đình
sân vườn

笛	Địch
cái sáo

鉄	Thiết
sắt

転	Chuyển
di chuyển

都	Đô
kinh đô

度	Độ
nhiệt độ

投	Đầu
ném,
đầu tư

豆	Đậu
hạt đậu

島	Đảo
hòn đảo

湯	Thang
nước nóng

登	Đăng
leo lên,
đăng ký

等	Đẳng
bình đẳng

動	Động
chuyển động

童	Đồng
nhi đồng

農	Nông
nông nghiệp

波	Ba
con sóng

配	Phối
phân phối

倍	Bội
bội số,
gấp nhiều lần

箱	Tương
cái hộp

畑	Điền 
ruộng

発	Phát 
phát triển

反	Phản 
phản đối

坂	Phản
cái dốc

板	Bản
cái bảng,
miếng ván

皮	Bì
cái vỏ

悲	Bi
buồn

美	Mỹ
mỹ thuật

鼻	Tỵ
cái mũi

筆	Bút
cái bút

氷	Băng
nước đá

表	Biểu 
biểu hiện

秒	Miểu 
giây

病	Bệnh 
bệnh tật

品	Phẩm
sản phẩm

負	Phụ 
thua

部	Bộ
bộ trưởng

服	Phục 
trang phục

福	Phúc 
phúc lợi

物	Vật 
động vật

平	Bình 
hoà bình

返	Phản 
trả lại

勉	Miễn 
cố gắng

放	Phóng 
giải phóng

味	Vị 
hương vị

命	Mệnh 
sinh mệnh

面	Diện 
mặt

問	Vấn 
hỏi

役	Dịch 
dịch vụ

薬	Dược 
thuốc

由	Do 
tự do

油	Du 
dầu

有	Hữu 
có, 
tồn tại

遊	Du 
chơi 
du hý

予	Dự 
dự báo

羊	Dương 
con cừu

洋	Dương 
đại dương

葉	Diệp 
cái lá

陽	Dương 
mặt trời

様	Dạng 
hình dạng

